,station,station_city,city_population,station_province,station_latitude,station_longitude,total_plays,total_artists,artists_to_plays_ratio,artists_to_population_ratio,bipoc_artists,canadian_artists,male_artists,english_plays
0,cjsr,edmonton,932550,alberta,53.55,-113.5,1920,425,0.22135416666666666,0.00045573963862527477,0.6510416666666666,0.4322916666666667,0.8515625,0.9864583333333333
1,cjsw,calgary,1239000,alberta,51.08,-114.08,1970,505,0.2563451776649746,0.0004075867635189669,0.6619289340101523,0.3035532994923858,0.8096446700507615,0.9558375634517766
2,ckxu,lethbridge,92730,alberta,49.7,-112.83,2230,539,0.24170403587443945,0.005812574139976275,0.5834080717488789,0.5139013452914798,0.8856502242152466,0.9829596412556054
3,cfuv,victoria,85795,british columbia,48.43,-123.35,2129,488,0.22921559417566933,0.0056879771548458535,0.7059652418976045,0.27618600281822453,0.8825739783936121,0.9849694692343823
4,cjsf,burnaby,232755,british columbia,49.25,-123.13,1350,301,0.22296296296296297,0.0012932053017121008,0.7296296296296296,0.31925925925925924,0.9037037037037037,0.9881481481481481
5,cjum,winnipeg,705245,manitoba,49.88,-97.17,2380,297,0.12478991596638656,0.0004211302455175152,0.65,0.35084033613445376,0.9289915966386555,1.0
6,ckdu,halifax,403130,nova scotia,44.65,-63.6,780,169,0.21666666666666667,0.00041921960657852306,0.5205128205128206,0.7564102564102564,0.9166666666666666,0.9794871794871794
7,ciut,toronto,2732000,ontario,43.66,-79.42,2079,375,0.18037518037518038,0.00013726207906295754,0.7027417027417028,0.5026455026455027,0.8672438672438673,0.9658489658489658
8,cfre,mississauga,721600,ontario,46.59,-79.66,670,146,0.21791044776119403,0.00020232815964523282,0.7432835820895523,0.35074626865671643,0.9104477611940298,0.9940298507462687
9,chrw,london,383825,ontario,42.983,-81.25,2480,391,0.15766129032258064,0.0010186934149677587,0.5814516129032258,0.5705645161290323,0.9262096774193549,0.9915322580645162
10,chuo,ottawa,934240,ontario,45.417,-75.7,2260,543,0.24026548672566372,0.0005812210995033396,0.6646017699115044,0.35929203539823007,0.8964601769911504,0.9871681415929203
11,cilu,thunder bay,107910,ontario,48.4,-89.2,2500,326,0.1304,0.0030210360485589845,0.696,0.266,0.8744,0.9948
12,ckut,montreal,1705000,quebec,45.5,-73.58,2020,410,0.20297029702970298,0.00024046920821114368,0.7836633663366337,0.25594059405940595,0.9301980198019802,0.9633663366336633
13,cfbx,kamloops,90280,british columbia,50.67,-120.33,1280,442,0.3453125,0.0048958794860434205,0.58203125,0.60703125,0.87265625,0.9796875
14,cfru,guelph,131795,ontario,43.55,-80.25,1300,354,0.2723076923076923,0.0026859896050684777,0.6623076923076923,0.42846153846153845,0.8553846153846154,0.9746153846153847
15,cfmh,saint john,67575,new brunswick,45.28,-66.07,120,35,0.2916666666666667,0.0005179430262671106,0.5083333333333333,0.26666666666666666,0.8833333333333333,1.0
16,cjam,windsor,217185,ontario,42.33,-83.03,2130,606,0.28450704225352114,0.00279024794530009,0.7075117370892019,0.3492957746478873,0.8849765258215962,0.9826291079812206
17,chsr,fredericton,58220,new brunswick,45.95,-66.63,520,102,0.19615384615384615,0.0017519752662315355,0.7173076923076923,0.46923076923076923,0.9365384615384615,0.9980769230769231
18,chry,toronto,2732000,ontario,43.66,-79.42,230,99,0.43043478260869567,3.623718887262079e-05,0.8695652173913043,0.3869565217391304,0.8695652173913043,0.9956521739130435
19,cjlo,montreal,1705000,quebec,45.5,-73.58,1740,327,0.1879310344827586,0.00019178885630498533,0.6787356321839081,0.4591954022988506,0.906896551724138,0.9672413793103448
20,chyz,laval,422995,quebec,45.57,-73.75,2150,313,0.1455813953488372,0.0007399614652655469,0.5725581395348838,0.3744186046511628,0.9553488372093023,0.8483720930232558
21,chly,nanaimo,90505,british columbia,49.15,-123.92,720,200,0.2777777777777778,0.002209822661731396,0.6597222222222222,0.40555555555555556,0.8472222222222222,0.9319444444444445
22,cscr,toronto,2732000,ontario,43.66,-79.42,810,124,0.15308641975308643,4.538799414348463e-05,0.9185185185185185,0.07160493827160494,0.8530864197530864,0.9938271604938271
23,cism,montreal,1705000,quebec,45.5,-73.58,70,17,0.24285714285714285,9.97067448680352e-06,0.8,0.22857142857142856,0.8142857142857143,0.7714285714285715
24,cick,smithers,5351,british columbia,54.77,-127.17,20,17,0.85,0.0031769762661184825,0.5,0.85,0.85,0.95
